strong	lemma	description_en	description_ja
11	Ἀβραάμ	73   Ἀβραάμ (Heb. אַבְרָהָם), ὁ, indecl. (in FlJ, Ἄβραμος, -ου; MM, VGT, s.v.),    Abraham (Ge 17:5 al.): Mt 1:1, 2 al.	【語義】アブラハム。ὁ、不変化（ヨセフスでは Ἄβραμος、-ου）。【語源】ヘブル語 אַבְרָהָם。【旧約参照】創 17:5 など。【新約用例】マタ 1:1、2 など。
12	ἄβυσσος	9   ἄ-βυσσος, -ον         (< Ion. βυσσός = βυθός),        in cl., boundless, bottomless (e.g. ἄ. πέλαγος, ἄ. πλοῦτος Æsch.).     [In LXX (for תְּהוֹם, Ge 1:2, al.; exc. Is 44:27, Jb 41:22 for צוּלָה, מְצוּלָה, Jb 36:16 for רַחַב) and] NT, as subst. (MM, VGT, s.v.), ἡ ἄ. (sc. χώρα), the abyss;       of the sea (Ge 1:2);        of the underworld, as the abode of the dead: Ro 10:7 (a paraphrase of De 30:13 LXX); as the abode of demons, Lk 8:31, Re 9:1, 2, 11, 11:7, 17:8, 20:1, 3 (Cremer, 2).†	【語義】深淵、奈落。【古典語】「底なしの、無限の」（例：ἄ. πέλαγος「底なしの海」、ἄ. πλοῦτος「尽きない富」、アイスキュロス）。【七十人訳・新約】名詞 ἡ ἄ.（sc. χώρα）として用いられる。①海（創 1:2）；②冥界・死者の住処（ロマ 10:7、申 30:13 七十人訳の言い換え）；③悪霊の住処（ルカ 8:31、黙 9:1、2、11、11:7、17:8、20:1、3）。
13	Ἄγαβος	2   Ἄγαβος, -ου, ὁ   Agabus: Ac 11:28, 21:10.†	【語義】アガボ。-ου、ὁ。【新約用例】使 11:28、21:10。
14	ἀγαθοεργέω	2   *† ἀγαθοεργέω, -ῶ,       to do good, show kindness: 1 Ti 6:18 (Cremer, 8).†	【語義】善いことをする、親切を示す。【新約用例】Ⅰテモ 6:18。
15	ἀγαθοποιέω	9   ἀγαθο-ποιέω, -ῶ (= cl. ἀγαθὸν ποιεῖν, εὐεργετεῖν),    [in LXX: Nu 10:32, Jg 17:13 A, Ze 1:12 (יטב hi.), To 12:13 B, I Mac 11:33, II Mac 1:2*;]    to do good;     univ.: I Pe 2:15, 20, 3:6, 17, III Jo 11;      for another's benefit: Mk 3:4 (T, ἀγαθὸν ποιῆσαι), Lk 6:9;      acc. pers., Lk 6:33, 35 (Cremer, 8).†	【語義】善を行う。古典語の ἀγαθὸν ποιεῖν、εὐεργετεῖν に相当。【七十人訳】民 10:32、士 17:13 A、ゼカ 1:12、トビ 12:13 B、Ⅰマカ 11:33、Ⅱマカ 1:2。【用法】①一般に：Ⅰペテ 2:15、20、3:6、17、Ⅲヨハ 11。②他者の益のために：マコ 3:4（T では ἀγαθὸν ποιῆσαι）、ルカ 6:9。③人を目的語として：ルカ 6:33、35。
16	ἀγαθοποιΐα	1   *† ἀγαθοποιία, -ας, ἡ     (< ἀγαθοποιός),    well-doing: I Pe 4:19.†	【語義】善行。【語源】ἀγαθοποιός から。【新約用例】Ⅰペテ 4:19。
17	ἀγαθοποιός	1   **† ἀγαθοποιός, -όν = cl. ἀγαθουργός,    [in LXX, of a woman who deals pleasantly in order to corrupt, Si 42:14*;]    doing well, acting rightly (Plut.): I Pe 2:14 (Cremer, 8; MM, VGT, s.v.).†	【語義】善を行う、正しく行動する（プルタルコス）。古典語の ἀγαθουργός に相当。【七十人訳】シラ 42:14（誘惑するために愛想よく振る舞う女の意）。【新約用例】Ⅰペテ 2:14。
18	ἀγαθός	102   ἀγαθός, -ή, -όν,    [in LXX chiefly for טוֹב;]    in general, good, in physical and in moral sense, used of persons, things, acts, conditions, etc., applied to that which is regarded as "perfect in its kind, so as to produce pleasure and satisfaction, . . . that which, in itself good, is also at once for the good and the advantage of him who comes in contact with it" (Cremer, 3): γῆ, Lk 8:8; δένδρον, Mt 7:18; καρδία, Lk 8:15; δόσις, Ja 1:17; μέρις, Lk 10:42; ἔργον (freq. in Pl.), Phl 1:6; ἐλπίς, II Th 2:16; θησαυρός, Mt 12:35; μνεία, I Th 3:6 (cf. II Mac 7:20); as subst., τὸ ἀ., that which is morally good, beneficial, acceptable to God, Ro 12:2; ἐργάζεσθαι τὸ ἀ, Ro 2:10, Eph 4:28; πράσσειν, Ro 9:11, II Co 5:10; διώκειν, I Th 5:15; μιμεῖσθαι, III Jo 11; κολλᾶσθαι τῷ ἀ., Ro 12:9; ερωτᾶν περὶ τοῦ ἀ., Mt 19:17; διάκονος εἰς τὸ ἀ., Ro 13:4; τὸ ἀ. σου, thy favour, benefit, Phm 14; pl., τὰ ἀ., of goods, possessions, Lk 12:18; of spiritual benefits, Ro 10:15, He 9:11, 10:1. ἀ. is opp. to πονηρός, Mt 5:45, 20:5; κακός, Ro 7:19; φαῦλος, Ro 9:11, II Co 5:10 (cf. MM, VGT, s.v.).   SYN.: καλός, δίκαιος. κ. properly refers to goodliness as manifested in form: ἀ. to inner excellence (cf. the cl. καλὸς κἀγαθός and ἐν καρδίᾳ κ. καὶ ἀ., Lk 8:15). In Ro 5:7, where it is contrasted with δ., ἀ. implies a kindliness and attractiveness not necessarily possessed by the δίκαιος, who merely measures up to a high standard of rectitude (cf. ἀγαθωσύνη).	【語義】良い、善い（身体的・道徳的両方の意味）。人・物・行為・状態に広く用いられる。「それ自体として完全であり、接触する者に喜びと満足をもたらすもの」を指す（Cremer）。【七十人訳】主に טוֹב の訳語。【用例】γῆ（ルカ 8:8）、δένδρον（マタ 7:18）、καρδία（ルカ 8:15）、δόσις（ヤコ 1:17）、μέρις（ルカ 10:42）、ἔργον（ピリ 1:6）、ἐλπίς（Ⅱテサ 2:16）、θησαυρός（マタ 12:35）など。【名詞的用法】τὸ ἀ.「道徳的に善いもの、神に受け入れられるもの」（ロマ 12:2）；複数形 τὰ ἀ.「財産、所有物」（ルカ 12:18）または「霊的な恵み」（ロマ 10:15、ヘブ 9:11、10:1）。【対義語】πονηρός（マタ 5:45）、κακός（ロマ 7:19）、φαῦλος（ロマ 9:11）。【類義語】καλός、δίκαιος。καλός は外見に現れる善さ、ἀγαθός は内面的な卓越さを指す（ルカ 8:15 参照）。ロマ 5:7 で δίκαιος と対比される場合、ἀγαθός は高い正義の基準を満たすだけの δίκαιος にはない親しみやすさと魅力を含意する。
19	ἀγαθωσύνη	4   † ἀγαθωσύνη (on the termination, v.s. ἁγιότης, and cf. WH, App., 152; MM, VGT, s.v.), -ης, ἡ     (< ἀγαθός),   [in LXX for טוֹבָה, טוֹב, טוּב, only in Heb. bks. ;]    goodness (representing "the kindlier, as δικαιοσύνη, the sterner element in the ideal character," AR, Eph., 5:9; on its relation to χρηστότης, v. Tr., Syn., §lxiii): Ro 15:14, Ga 5:22, II Th 1:11.†	【語義】善良さ。【語源】ἀγαθός から。【七十人訳】טוֹבָה、טוֹב、טוּב の訳語（ヘブル語正典のみ）。【定義】「理想的な徳における温かな面を表し、δικαιοσύνη は厳格な面を表す」（Armitage Robinson）。χρηστότης との関係については Trench 参照。【新約用例】ロマ 15:14、ガラ 5:22、Ⅱテサ 1:11。
20	ἀγαλλίασις	5   † ἀγαλλίασις, -εως, ἡ     (< ἀγαλλιάω),   [in LXX (most freq. in Pss. and  often coupled with εὐφροσύνη, as Ps 44 (45):15) chiefly for גִּיל;]    exultation, exuberant joy: Lk 1:44, Ac 2:46, He 1:9, Ju 24; χαρὰ καὶ ἀ., Lk 1:14 (Cremer, 592).†	【語義】歓喜、溢れんばかりの喜び。【語源】ἀγαλλιάω から。【七十人訳】主に גִּיל の訳語（詩篇に多く、しばしば εὐφροσύνη と組み合わされる）。【新約用例】ルカ 1:44、使 2:46、ヘブ 1:9、ユダ 24。χαρὰ καὶ ἀ.（喜びと歓喜）：ルカ 1:14。
21	ἀγαλλιάω	11   † ἀγαλλιάω, -ῶ, Hellenistic form of cl. ἀγάλλω, to glorify, mid. -ομαι, to exult in;    [in LXX (most freq. in Pss.) chiefly for גיל, רנן pi.;]    to exult, rejoice greatly: seq. ἐπί, c. dat., Lk 1:47; c. dat. mod., I Pe 1:8, Re 19:7. Mid., with same sense: Mt 5:12, Lk 10:21, Ac 2:26, 16:34, I Pe 4:13; seq. ἵνα, Jo 8:56; ἐν, Jo 5:35 (1 aor. pass. perh. as mid.; but v. Mozley, Psalter, 5), I Pe 1:6 (Cremer, 590).†	【語義】大いに喜ぶ、歓喜する。古典語 ἀγάλλω（称える；中動態は「～に喜ぶ」）のヘレニズム形。【七十人訳】主に גיל、רנן pi. の訳語（詩篇に多い）。【用法】ἐπί+与格（ルカ 1:47）；与格（Ⅰペテ 1:8、黙 19:7）。中動態も同義：マタ 5:12、ルカ 10:21、使 2:26、16:34、Ⅰペテ 4:13；ἵνα に続く（ヨハ 8:56）；ἐν+名詞（ヨハ 5:35、Ⅰペテ 1:6）。
22	ἄγαμος	4   ** ἄ-γαμος, -ον     [in LXX: IV Mac 16:9 * ;]    unmarried: I Co 7:8, 32; fem. (= cl. ἄνανδρος), I Co 7:11, 34.†	【語義】未婚の。【語源】γάμος（結婚）に否定の ἀ- がついた形。【七十人訳】Ⅳマカ 16:9。【新約用例】Ⅰコリ 7:8、32；女性形（古典語 ἄνανδρος に相当）：Ⅰコリ 7:11、34。
23	ἀγανακτέω	7   ** ἀγανακτέω, -ῶ (< ἄγαν, much, ἄχομαι, to grieve),     [in LXX: Wi 5:22, 12:27, Da TH Bel 28, IV Mac 4:21*;]    to be indignant: Mt 21:15, 26:8, Mk 10:14, 14:4; seq. περί, Mt 20:24, Mk 10:41; seq. ὅτι, Lk 13:14 (v. MM, VGT, s.v.).†	【語義】憤慨する、憤る。【語源】ἄγαν（非常に）＋ἄχομαι（悲しむ）。【七十人訳】知恵 5:22、12:27、ダニ（テオドシオン訳）ベル 28、Ⅳマカ 4:21。【新約用例】マタ 21:15、26:8、マコ 10:14、14:4；περί+属格（マタ 20:24、マコ 10:41）；ὅτι に続く（ルカ 13:14）。
24	ἀγανάκτησις	1   ** ἀγανάκτησις, -εως, ἡ     (< ἀγανακτέω),   [in LXX: Es 18:3 א1*;]    indignation: II Co 7:11 (v. MM, VGT, s.v.).†	【語義】憤慨、憤り。【語源】ἀγανακτέω から。【七十人訳】エス 18:3。【新約用例】Ⅱコリ 7:11。
25	ἀγαπάω	143   ἀγαπάω, -ῶ,     [in LXX chiefly for אהב;]    to love, to feel and exhibit esteem and goodwill to a person, to prize and delight in a thing.    Of human affection, to men: τ. πλησίον, Mt 5:43; τ. ἐχθρούς, ib. 44; to Christ, Jo 8:42; to God, Mt 22:37; c. acc. rei, Lk 11:43, Jo 12:43, Eph 5:25, II Tim 4:8, 10, He 1:9, I Pe 2:17, 3:10, II Pe 2:15, I Jo 2:15, Re 12:11.     Of divine love;       God's love: to men, Ro 8:37; to Christ, Jo 3:35;        Christ's love: to men, Mk 10:21; to God, Jo 14:31; c. cogn. acc., Jo 17:26, Eph 2:4.           SYN.: φιλέω. From its supposed etymology (Thayer, LS; but v. also Boisacq) ἀ. is commonly understood properly to denote love based on esteem (diligo), as distinct from that expressed by φιλέω (amo), spontaneous natural affection, emotional and unreasoning. If this distinction holds, ἀ. is fitly used in NT of Christian love to God and man, the spiritual affection which follows the direction of the will, and which, therefore, unlike that feeling which is instinctive and unreasoned, can be commanded as a duty. (Cf. ἀγάπη, and v. Tr., Syn. §xii; Cremer, 9, 592; and esp. MM, VGT, s.v.)	【語義】愛する；人に対して尊重と好意を感じ示す；物事を大切にし喜ぶ。【七十人訳】主に אהב の訳語。【用法】①人間の愛：隣人を（マタ 5:43）、敵を（同 44）、キリストを（ヨハ 8:42）、神を（マタ 22:37）；物を目的語として（ルカ 11:43、ヨハ 12:43、エペ 5:25、Ⅱテモ 4:8、10、ヘブ 1:9、Ⅰペテ 2:17、3:10、Ⅱペテ 2:15、Ⅰヨハ 2:15、黙 12:11）。②神の愛：人への（ロマ 8:37）、キリストへの（ヨハ 3:35）；キリストの愛：人への（マコ 10:21）、神への（ヨハ 14:31）；同族目的語（ヨハ 17:26、エペ 2:4）。【類義語】φιλέω。語源から（Thayer、LS；Boisacq も参照）、ἀ. は通常「尊重に基づく愛」（diligo）を表し、感情的・本能的な自然の愛を表す φιλέω（amo）と区別される。この区別が成り立つなら、ἀ. は新約において神と人への意志に導かれた霊的な愛として用いられ、命令できる義務としての性格を持つ。
26	ἀγάπη	116   † ἀγάπη, -ης, ἡ     [in LXX for אַהֲבָה, which is also rendered by ἀγάπησις and φιλία;]       love, goodwill, esteem. Outside of bibl. and eccl. books, there is no clear instance (with Deiss., LAE, 18:4, 70:2, cf. the same writer in Constr. Quar., ii, 4; and with MM, VGT, s.v., cf. Dr. Moulton in Exp. Times, xxvi, 3, 139). In NT, like ἀγαπάω, -ῶ,     Of men's love:     to one another, Jo 13:35;      to God, I Jo 2:5.          Of divine love;       God's love: to men, Ro 5:8; to Christ, Jo 17:26;        Christ's love to men: Ro 8:35.           In pl., love feasts: Ju 12 (DB, iii, 157).      SYN.: φιλία. ἀ., signifying properly (v.s. ἀγαπάω) love which chooses its object, is taken over from LXX, where its connotation is more general, into NT, and there used exclusively to express that spiritual bond of love between God and man and between man and man, in Christ, which is characteristic of Christianity. It is thus distinct from φιλία, friendship (Ja 4:4 only), στοργή, natural affection (in NT only in compounds, v.s. ἄστοργος) and ἔρως, sexual love, which is not used in NT, its place being taken by ἐπιθυμία. (Cf. ἀγαπάω; and v. Abbott, Essays, 70f.; DB, vol. i., 555; Cremer, 13, 593; MM, VGT, s.v.).	【語義】愛、好意、尊重。【七十人訳】אַהֲבָה の訳語（他に ἀγάπησις、φιλία も使われる）。聖書・教会文書以外に明確な用例はない。【用法】①人の愛：互いへの（ヨハ 13:35）；神への（Ⅰヨハ 2:5）。②神の愛：人への（ロマ 5:8）；キリストへの（ヨハ 17:26）。③キリストの愛：人への（ロマ 8:35）。④複数形：愛餐（ユダ 12）。【類義語】φιλία。ἀ. は本来「対象を選ぶ愛」を意味し、七十人訳から新約に引き継がれ、キリストにある神と人・人と人の間の霊的な愛の絆を表すために独占的に用いられる。φιλία（友情、ヤコ 4:4 のみ）、στοργή（家族愛、新約では複合語のみ）、ἔρως（性愛、新約では不使用、代わりに ἐπιθυμία が用いられる）と区別される。
27	ἀγαπητός	61   ἀγαπητός, -ή, -όν     (< ἀγαπάω),   [in LXX chiefly for יָתִיד, יָדִיד;]    beloved (v. M, Pr., 221);     by God: of Christ, Mt 3:17; of men, Ro 1:7;      by Christians, of one another: I Co 4:14; freq. as form of address, I Co 10:14; opp. to ἐχθρός, Ro 11:28 (v. AR, Eph., 229; Cremer, 17; MM, VGT, s.v.).	【語義】愛する、愛された者。【語源】ἀγαπάω から。【七十人訳】主に יָתִיד、יָדִיד の訳語。【用法】①神による：キリストについて（マタ 3:17）、人について（ロマ 1:7）；②クリスチャン同士：Ⅰコリ 4:14；頻繁に呼びかけの形として（Ⅰコリ 10:14）；ἐχθρός の対義語（ロマ 11:28）。
28	Ἅγαρ	2   Ἅγαρ (Rec. Ἄ-), ἡ, indecl. (in FlJ, Ἀγάρα, -ης, Heb. הָגָר),   Hagar (Ge 16): Ga 4:24, 25.†	【語義】ハガル。ἡ、不変化（ヨセフスでは Ἀγάρα、-ης）。【語源】ヘブル語 הָגָר。Rec. では Ἄ-。【旧約参照】創 16。【新約用例】ガラ 4:24、25。
29	ἀγγαρεύω	3   * ἀγγαρεύω (from the Persian; cf. Vg. angiare, and the Heb. אִגֶרֶת; on the orthogr., v. Bl., §6, 1; M, Pr., 46),    to impress into public service, employ a courier; hence, to compel to perform a service (prob. common in the vernac.; cf. Deiss., BS, 86f., MM, Exp., iv; VGT, s.v.): Mt 5:41, 27:32, Mk 15:21.†	【語義】公的業務に徴用する；強制的に役務を担わせる。【語源】ペルシャ語（cf. Vg. angiare、ヘブル語 אִגֶרֶת）。【新約用例】マタ 5:41、27:32、マコ 15:21。
30	ἀγγεῖον	1   ἀγγεῖον, -ου, τό     (< ἄγγος),   [in LXX chiefly for כְּלִי;]    a vessel (v. MM, VGT, s.v.): Mt 25:4.†	【語義】容器、器。【語源】ἄγγος から。【七十人訳】主に כְּלִי の訳語。【新約用例】マタ 25:4。
31	ἀγγελία	2   ἀγγελία, -ας, ἡ     (< ἄγγελος),   [in LXX chiefly for שְׁמוּעָה;]    a message: I Jo 1:5, 3:11 (Cremer, 18; MM, VGT, s.v.).†	【語義】知らせ、メッセージ。【語源】ἄγγελος から。【七十人訳】主に שְׁמוּעָה の訳語。【新約用例】Ⅰヨハ 1:5、3:11。
32	ἄγγελος	176   ἄγγελος, -ου, ὁ,     [in LXX chiefly for מַלְאָךְ;]      a messenger, one sent: Mt 11:10, Ja 22:25.     As in LXX, in the special sense of angel, a spiritual, heavenly being, attendant upon God and employed as his messenger to men, to make known his purposes, as Lk 1:11, or to execute them, as Mt 4:6. The ἄ. in Re 1:20 2:1, al., is variously understood as       a messenger or delegate,        a bishop or ruler,        a guardian angel,        the prevailing spirit of each church, i.e. the Church itself. (Cf. Swete, Ap)., in l.; DB, iv, 991; Thayer, s.v.; Cremer, 18; MM, VGT, s.v.)	【語義】①使者、遣わされた者（マタ 11:10、ヤコ 22:25）。②七十人訳と同様、特別な意味で「御使い」：神に仕え、神の目的（ルカ 1:11）やその実行（マタ 4:6）のために人に遣わされる霊的・天的存在。【七十人訳】主に מַלְאָךְ の訳語。【注記】黙 1:20、2:1 などの ἄ. は様々に解釈される：①使者・代理人、②監督・支配者、③守護の御使い、④各教会の支配的な霊（すなわち教会そのもの）。
33	ἄγε	2   ἄγε,   prop. imperat. of ἄγω,   come! used as adv. and addressed, like φέρε, to one or more persons: Ja 4:13, 5:1.†	【語義】さあ！来い！【用法】ἄγω の本来の命令形。副詞として、φέρε と同様に一人または複数の人に向けて用いられる。【新約用例】ヤコ 4:13、5:1。
34	ἀγέλη	7   ἀγέλη, -ης, ἡ     (< ἄγω),   [in LXX chiefly for עֵ֫דֶר;]    a herd: Mt 8:30-32, Mk 5:11, 13, Lk 8:32, 33.†	【語義】（家畜の）群れ。【語源】ἄγω から。【七十人訳】主に עֵ֫דֶר の訳語。【新約用例】マタ 8:30-32、マコ 5:11、13、ルカ 8:32、33。
35	ἀγενεαλόγητος	1   *† ἀγενεαλόγητος, -ον    (< γενεαλογέω),    without genealogy, i.e. without recorded pedigree (cf. Ne 7:64): He 7:3 (Cremer, 152; MM, VGT, s.v.).†	【語義】系図のない、記録された家系を持たない。【語源】γενεαλογέω に否定の ἀ- がついた形。【参照】ネヘ 7:64。【新約用例】ヘブ 7:3。
36	ἀγενής	1   ἀγενής, -ές    (< γένος),      unborn (Plat.);   of no family, ignoble, base (opp. to ἀγαθός, Soph., Fr., 105): opp. to εὐγενής, I Co 1:28 (for exx. from π., v. MM, VGT, s.v.).†	【語義】家柄のない、卑しい、低い（ἀγαθός の対義語、ソポクレス断片 105）。【語源】γένος から（プラトンでは「生まれていない」の意）。【用法】εὐγενής の対義語：Ⅰコリ 1:28。
37	ἁγιάζω	28   ἁγιάζω, Hellenistic form of ἁγίζω     (< ἅγιος),    to make holy, consecrate, sanctify; [in LXX chiefly for קדשׁ pi., hi.;]     to dedicate, separate,  set apart for God; of things: Mt 23:17, 19, II Ti 2:21; of persons: Christ, Jo 10:36, 17:19.     to purify, make conformable in character to such dedication: forensically, to free from guilt, I Co 6:11, Eph 5:26, He 2:11, 10:10, 14, 29, 13:12; internally, by actual sanctification of life, Jo 17:17, 19, Ac 20:32, 26:18, Ro 15:16, I Co 1:2, 7:14, I Th 5:23, Re 22:11; of a nonbeliever influenced by marriage with a Christian, I Co 7:14.     In the intermediate sense of ceremonial or levitical purification:       of things, II Ti 2:21;        of persons, He 9:13.           to treat as holy: Mt 6:9, Lk 11:2, I Pe 3:16 (Cremer, 53, 602; MM, VGT, s.v.).†	【語義】聖別する、きよめる、聖とする。【語源】ἁγίζω（＜ ἅγιος）のヘレニズム形。【七十人訳】主に קדשׁ pi.、hi. の訳語。【用法】①神のために区別し奉献する：物について（マタ 23:17、19、Ⅱテモ 2:21）；人について、キリスト（ヨハ 10:36、17:19）。②きよめる、奉献にふさわしい性格に整える：法的に罪から解放する（Ⅰコリ 6:11、エペ 5:26、ヘブ 2:11、10:10、14、29、13:12）；内的に生活の聖化によって（ヨハ 17:17、19、使 20:32、26:18、ロマ 15:16、Ⅰコリ 1:2、7:14、Ⅰテサ 5:23、黙 22:11）；クリスチャンとの婚姻によって影響を受けた不信者（Ⅰコリ 7:14）。③儀礼的・レビ的きよめの意味で：物について（Ⅱテモ 2:21）；人について（ヘブ 9:13）。④聖なるものとして扱う：マタ 6:9、ルカ 11:2、Ⅰペテ 3:16。
38	ἁγιασμός	10   † ἁγιασμός, -οῦ, ὁ     (< ἁγιάζω),   [in LXX: Ez 45:4 (מִקְדָּשׁ), Si 7:31, etc.;]    as an active verbal noun in -μός, it signifies properly the process τὸ ἁγιάζειν, rather than the resultant state, ἁγιωσύνη, hence,     consecration;      sanctification: so strictly in Ro 6:19, 22 (but v. Meyer), I Co 1:30, I Th 4:3, 7, II Th 2:13, He 12:14, I Pe 1:2. Elsewhere it perhaps (Ellic.; but v. Milligan, Th., 48) inclines to the resultant state:  I Th 4:4, I Ti 2:15 (Cremer, 55, 602).†	【語義】聖別、聖化。【語源】ἁγιάζω から。-μός に終わる能動的動作名詞として、本来は結果の状態（ἁγιωσύνη）ではなく τὸ ἁγιάζειν の過程を表す。【七十人訳】エゼ 45:4（מִקְדָּשׁ）、シラ 7:31 など。【新約用例】①聖別・奉献；②（厳密な意味での）聖化：ロマ 6:19、22（マイヤー参照）、Ⅰコリ 1:30、Ⅰテサ 4:3、7、Ⅱテサ 2:13、ヘブ 12:14、Ⅰペテ 1:2。その他では結果の状態に傾く可能性がある：Ⅰテサ 4:4、Ⅰテモ 2:15。
